title,url,custom_redirect,page,text,Category,Rank,Hide,isFree,isTopRated,verified,premium,imgUrl,logoUrl,webaddress,social,city,state,salary,type,messages,poshttp://127.0.0.1:4000/ition,about,jobDescription,qualifications,img1,img2,img3,img4,avatar,name,date
Gras,https://grascannabis.org/,https://grascannabis.org/,gras,"Find the best weed experiences near you. Flower, edibles, dispensaries, events and more to celebrate cannabis.",Weed Delivery,90,FALSE,TRUE,TRUE,TRUE,TRUE,https://f5d8da031790bc54-image-dispensary.s3.amazonaws.com/gras/Gras-og.png,https://f5d8da031790bc54-image-dispensary.s3.amazonaws.com/gras/logo.png,x.com,Gras,New York,NY,,,,,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?

Have you read the key texts in motivational psychology and gamification, wondering how this knowledge can change the future of education? Trilogy is dedicated to maximizing learning outcomes across its diverse EdTech portfolio, and we're searching for a strategist who can combine the science of engagement with a passion for AI.","- Update and maintain the overall health of the company main websites and the corporate blog; work on their design system and consistency

- Create attractive landing pages to promote the company products and services

- Focus on improving the overall user experience and conversion rates

- Cooperate with copywriters, web developers, advertising specialists; gather feedback from users and stakeholders and use it to make improvements on the website

- Be the main contact point for all design-related topics on the corporate website

- Improve existing design solutions while also continuing to evolve the brand language.","- Strong knowledge of Figma, Adobe products

- Strong typography and composition skills

- Knowledge of how to create and work with design systems, UI kits

- Neatness, pixel perfect approach to accuracy, striving for file hygiene

- Well-prepared specifications for the devteam and diligent asset handoff

- Portfolio showcasing a clear understanding of simplicity, typography, and interactions

- Readiness to spend enough time to get to know the company’s fintech products, no fear of complex fintech topics

- Deadline consciousness

- General understanding of Web technologies (HTML, CSS, JavaScript)

- B2+/C1 English

- Open-mindedness and team-first attitude, being able to criticize in a friendly manner and accept constructive criticism

- Willingness to grow personally and professionally as a web designer

- An empathic and patient professional",https://ucarecdn.com/32dff8e4-821d-40f8-a454-c5377de26fc9/,https://ucarecdn.com/4c7d1ce7-367a-455b-a524-bf1fc673db24/,https://ucarecdn.com/df7bfae2-18d8-4ad9-8b5a-664d672178de/,https://ucarecdn.com/eba7335f-059a-4b82-801a-3625afba2052/,https://ucarecdn.com/7164be1a-6e8e-4f0f-b7e3-45fcb9e3213d/,Jane Cooper,24 Feb
Eaze,https://www.eaze.com,https://www.eaze.com,eaze,Leading cannabis delivery platform in CA and MI.,Weed Delivery,87,FALSE,FALSE,TRUE,TRUE,TRUE,https://www.eaze.com/images/logo-eaze.png,https://www.eaze.com/images/logo-eaze.png,eaze.com,Eaze,Los Angeles,CA,,,,,,,,https://www.eaze.com/images/img1.jpg,https://www.eaze.com/images/img2.jpg,https://www.eaze.com/images/img3.jpg,https://www.eaze.com/images/img4.jpg,https://www.eaze.com/images/avatar.jpg,John Doe,16 May
Leafly Delivery,https://www.leafly.com/delivery,https://www.leafly.com/delivery,leafly,Order weed delivery online from Leafly.,Weed Delivery,73,FALSE,FALSE,TRUE,TRUE,TRUE,https://www.leafly.com/images/logo.png,https://www.leafly.com/images/logo.png,leafly.com,Leafly,Seattle,WA,,,,,,,,https://www.leafly.com/images/img1.jpg,https://www.leafly.com/images/img2.jpg,https://www.leafly.com/images/img3.jpg,https://www.leafly.com/images/img4.jpg,https://www.leafly.com/images/avatar.jpg,Jane Smith,16 May
Weedmaps,https://www.weedmaps.com,https://www.weedmaps.com,wm,"Connecting consumers with cannabis retailers, products, and delivery services.",Weed Delivery,86,FALSE,FALSE,TRUE,TRUE,TRUE,https://www.weedmaps.com/images/logo.png,https://www.weedmaps.com/images/logo.png,weedmaps.com,Weedmaps,Irvine,CA,,,,,,,,https://www.weedmaps.com/images/img1.jpg,https://www.weedmaps.com/images/img2.jpg,https://www.weedmaps.com/images/img3.jpg,https://www.weedmaps.com/images/img4.jpg,https://www.weedmaps.com/images/avatar.jpg,Alex Brown,16 May
Amuse,https://www.amuse.com,https://www.amuse.com,amuse,Premium cannabis delivery service operating in California.,Weed Delivery,65,FALSE,FALSE,TRUE,TRUE,TRUE,https://www.amuse.com/images/logo.png,https://www.amuse.com/images/logo.png,amuse.com,Amuse,San Francisco,CA,,,,,,,,https://www.amuse.com/images/img1.jpg,https://www.amuse.com/images/img2.jpg,https://www.amuse.com/images/img3.jpg,https://www.amuse.com/images/img4.jpg,https://www.amuse.com/images/avatar.jpg,Emily Clark,16 May
Ganja Goddess,https://www.ganjagoddess.com,https://www.ganjagoddess.com,ganja,Online cannabis shop offering delivery throughout California.,Weed Delivery,68,FALSE,FALSE,TRUE,TRUE,TRUE,https://www.ganjagoddess.com/images/logo.png,https://www.ganjagoddess.com/images/logo.png,ganjagoddess.com,Ganja,Los Angeles,CA,,,,,,,,https://www.ganjagoddess.com/images/img1.jpg,https://www.ganjagoddess.com/images/img2.jpg,https://www.ganjagoddess.com/images/img3.jpg,https://www.ganjagoddess.com/images/img4.jpg,https://www.ganjagoddess.com/images/avatar.jpg,Sarah Lee,16 May
Lantern,https://www.lanternnow.com,https://www.lanternnow.com,lantr,"Cannabis delivery service in MA, MI, and CO.",Weed Delivery,57,FALSE,FALSE,TRUE,TRUE,TRUE,https://www.lanternnow.com/images/logo.png,https://www.lanternnow.com/images/logo.png,lanternnow.com,Lantern,Boston,MA,,,,,,,,https://www.lanternnow.com/images/img1.jpg,https://www.lanternnow.com/images/img2.jpg,https://www.lanternnow.com/images/img3.jpg,https://www.lanternnow.com/images/img4.jpg,https://www.lanternnow.com/images/avatar.jpg,Mark Davis,16 May
Amuse,https://amuse.com,https://amuse.com,amuse,"Delivery of top cannabis brands in California, discreet and reliable.",Weed Delivery,75,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/amuse.jpg,https://example.com/amuse-logo.png,amuse.com,Amuse,San Francisco,CA,,,,,,,,,,,,Jane Smith,Jane Smith,16 May
Eaze,https://eaze.com,https://eaze.com,eaze,"Leading cannabis delivery platform, offering a wide variety of products in California.",Weed Delivery,64,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/eaze.jpg,https://example.com/eaze-logo.png,eaze.com,Eaze,San Diego,CA,,,,,,,,,,,,Alex Johnson,Alex Johnson,16 May
Lantern,https://lanternnow.com,https://lanternnow.com,lantern,"Cannabis delivery in Massachusetts, Michigan, and Colorado, offering a variety of local brands.",Weed Delivery,76,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/lantern.jpg,https://example.com/lantern-logo.png,lanternnow.com,Lantern,Boston,MA,,,,,,,,,,,,Robert Brown,Robert Brown,16 May
Budee,https://budee.org,https://budee.org,budee,Convenient same-day delivery of cannabis products in California.,Weed Delivery,58,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/budee.jpg,https://example.com/budee-logo.png,budee.org,Budee,Oakland,CA,,,,,,,,,,,,Emily Davis,Emily Davis,16 May
High Tide,https://hightide.org,https://hightide.org,hightide,"Quality cannabis products delivery, known for excellent customer service in California.",Weed Delivery,87,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/hightide.jpg,https://example.com/hightide-logo.png,hightide.org,High Tide,Los Angeles,CA,,,,,,,,,,,,Chris White,Chris White,16 May
